key,female_life_expectancy,male_life_expectancy,total_life_expectancy,net_Migration,population_growth,female_population,male_population,total_population,rural_population_percentage,rural_population_growth,urban_population_percentage,urban_population_growth
82,63.32,59.591,61.422,-982687.0,2.183055564,49.97146995,50.02853005,32360619.0,21724978.0,2.104138859,10635641.0,2.344449201
83,63.734,60.082,61.879,-590277.6666666666,2.140740085,50.0331026,49.9668974,33060844.0,22177545.0,2.0617632,10883299.0,2.301869286
84,64.145,60.567,62.33,-590277.6666666666,2.163115464,50.08440589,49.91559411,33783779.0,22637497.0,2.052740019,11146282.0,2.3876577
85,64.545,61.031,62.764,-590277.6666666666,2.228245116,50.11644227,49.88355773,34545014.0,23114414.0,2.084871493,11430600.0,2.518798048
86,64.926,61.457,63.171,-590277.6666666666,2.30259996,50.12696015,49.87303985,35349676.0,23611109.0,2.1260916,11738567.0,2.658577575
87,65.284,61.838,63.542,-538145.0,2.359808168,50.12038118,49.87961882,36193781.0,24124603.0,2.151486951,12069178.0,2.777518444
88,65.615,62.17,63.875,-590277.6666666666,2.398962995,50.10320977,49.89679023,37072555.0,24650654.0,2.157124045,12421901.0,2.880619432
89,65.919,62.453,64.169,-590277.6666666666,2.412107467,50.08410866,49.91589134,37977657.0,25183364.0,2.138018621,12794293.0,2.953808775
90,66.198,62.693,64.429,-590277.6666666666,2.40720187,50.06901019,49.93098981,38902948.0,25717183.0,2.097574992,13185765.0,3.013862647
91,66.457,62.9,64.663,-590277.6666666666,2.398795478,50.05894106,49.94105894,39847433.0,26251090.0,2.054814427,13596343.0,3.066302092
92,66.705,63.09,64.881,-250001.0,2.395242326,50.05202458,49.94797542,40813398.0,26785833.0,2.016561636,14027565.0,3.122346286
93,66.947,63.277,65.095,-590277.6666666666,2.392257972,50.04741453,49.95258547,41801532.0,27320645.0,1.976951516,14480887.0,3.18053196
94,67.187,63.467,65.311,-590277.6666666666,2.39143409,50.04359049,49.95640951,42813237.0,27856005.0,1.940591902,14957232.0,3.23652867
95,66.69879999999999,63.08540000000001,64.8758,-590277.6666666666,2.391071774,50.03954342,49.96045658,43849269.0,28391086.0,1.902666014,15458183.0,3.294357846
96,68.715,66.949,67.773,-2469706.6666666665,1.484746964,48.77452777,51.22547223,139035505.0,101761476.0,0.539656217,37274029.0,4.111356709
97,69.24,67.318,68.213,-2469706.6666666665,1.347121031,48.84550051,51.15449949,140921154.0,102143880.0,0.375080337,38777274.0,3.95375427
98,69.761,67.679,68.648,-3254778.0,1.226630505,48.93057379,51.06942621,142660381.0,102377369.0,0.228327475,40283012.0,3.809548824
99,70.272,68.031,69.072,-2469706.6666666665,1.145647438,49.0203817,50.9796183,144304164.0,102502134.0,0.121793555,41802030.0,3.701506133
100,70.773,68.37,69.485,-2469706.6666666665,1.116806435,49.1023496,50.8976504,145924795.0,102571998.0,0.068135364,43352797.0,3.642631954
101,71.257,68.694,69.881,-2469706.6666666665,1.124806897,49.16789978,50.83210022,147575433.0,102621005.0,0.047766737,44954428.0,3.627804304
102,71.721,68.996,70.256,-2469706.6666666665,1.143828671,49.21410707,50.78589293,149273134.0,102662598.0,0.040522477,46610536.0,3.617734448
103,72.159,69.273,70.606,-2306839.0,1.154006105,49.244382,50.755618,151005733.0,102694469.0,0.031039594,48311264.0,3.583813258
104,72.571,69.526,70.93,-2469706.6666666665,1.155950914,49.26428116,50.73571884,152761413.0,102713719.0,0.018743167,50047694.0,3.531168819
105,72.955,69.759,71.231,-2469706.6666666665,1.142930216,49.28194002,50.71805998,154517385.0,102699980.0,-0.013376907,51817405.0,3.474966592
106,73.316,69.978,71.514,-2469706.6666666665,1.119091033,49.3030594,50.6969406,156256287.0,102647880.0,-0.050743164,53608407.0,3.39798061
107,73.655,70.192,71.785,-2469706.6666666665,1.095288404,49.32880515,50.67119485,157977151.0,102554027.0,-0.091473815,55423124.0,3.32910046
108,73.978,70.409,72.052,-1847503.0,1.075535249,49.35726286,50.64273714,159685421.0,102425423.0,-0.125479912,57259998.0,3.260535735
109,74.291,70.637,72.32,-2469706.6666666665,1.0535703,49.38729667,50.61270333,161376713.0,102261195.0,-0.160467779,59115518.0,3.189119712
110,74.595,70.877,72.591,-2469706.6666666665,1.029196649,49.41691088,50.58308912,163046173.0,102058752.0,-0.198162802,60987421.0,3.117416794
111,73.96700000000001,70.4186,72.0524,-2469706.6666666665,1.002774181,49.44476293,50.55523707,164689383.0,101815917.0,-0.238219997,62873466.0,3.045660071
112,75.775,68.166,71.896,40641.333333333336,1.145884772,50.57028877,49.42971123,186127108.0,31950579.0,-0.661062615,154176529.0,1.524464571
113,76.122,68.536,72.26,40641.333333333336,1.090192573,50.59144399,49.40855601,188167353.0,31719371.0,-0.726273592,156447982.0,1.462533321
114,76.457,68.905,72.618,0.0,1.037864683,50.61258653,49.38741347,190130445.0,31470391.0,-0.788043128,158660054.0,1.404031688
115,76.779,69.266,72.966,40641.333333333336,0.994310572,50.63360553,49.36639447,192030362.0,31206854.0,-0.840938535,160823508.0,1.354365187
116,77.085,69.616,73.3,40641.333333333336,0.961946715,50.65435369,49.34564631,193886505.0,30936531.0,-0.870003155,162949974.0,1.313570564
117,77.378,69.95,73.619,40641.333333333336,0.937959307,50.67473556,49.32526444,195713637.0,30658541.0,-0.902643275,165055096.0,1.283608759
118,77.658,70.265,73.921,40641.333333333336,0.915965178,50.69467518,49.30532482,197514541.0,30356010.0,-0.991676491,167158531.0,1.266331624
119,77.929,70.56,74.209,15924.0,0.893525507,50.71420259,49.28579741,199287292.0,30046545.0,-1.024684164,169240747.0,1.237959014
120,78.193,70.838,74.483,40641.333333333336,0.873605696,50.73346152,49.26653848,201035904.0,29735221.0,-1.041544388,171300683.0,1.209815279
121,78.45,71.099,74.745,40641.333333333336,0.855795964,50.75265921,49.24734079,202763744.0,29416964.0,-1.076072071,173346780.0,1.187370434
122,78.698,71.345,74.994,40641.333333333336,0.838838953,50.77192249,49.22807751,204471759.0,29096331.0,-1.095943099,175375428.0,1.163488208
123,78.934,71.578,75.23,40641.333333333336,0.823752153,50.79128435,49.20871565,206163056.0,28776239.0,-1.106207186,177386817.0,1.140377592
124,79.156,71.804,75.456,106000.0,0.807145245,50.81065943,49.18934057,207833825.0,28454529.0,-1.124267242,179379296.0,1.116978123
125,79.362,72.024,75.672,40641.333333333336,0.78384426,50.82991676,49.17008324,209469320.0,28133824.0,-1.133478593,181335496.0,1.084634853
126,79.555,72.243,75.881,40641.333333333336,0.751550842,50.84890006,49.15109994,211049519.0,27807885.0,-1.165293997,183241634.0,1.045680166
127,79.14099999999999,71.7988,75.44660000000002,40641.333333333336,0.712872791,50.86748524,49.13251476,212559409.0,27477555.0,-1.195012398,185081854.0,0.999249503
128,54.207,52.644,53.411,6303.666666666667,3.727929015,50.21125953,49.78874047,13624474.0,11411587.0,3.733897108,2212887.0,3.697157945
129,55.015,53.378,54.18,6303.666666666667,3.742057985,50.17136279,49.82863721,14143969.0,11847271.0,3.746830298,2296698.0,3.717444137
130,55.846,54.127,54.968,-20001.0,3.756576119,50.13473923,49.86526077,14685404.0,12301376.0,3.761358034,2384028.0,3.731905488
131,56.688,54.88,55.764,6303.666666666667,3.778529478,50.10004975,49.89995025,15250913.0,12775842.0,3.784491786,2475071.0,3.747758838
132,57.528,55.63,56.557,6303.666666666667,3.809666088,50.065571,49.934429,15843131.0,13272583.0,3.814443509,2570548.0,3.785002327
133,58.351,56.364,57.333,6303.666666666667,3.844166656,50.03037228,49.96962772,16464025.0,13793396.0,3.848944791,2670629.0,3.819491944
134,59.141,57.074,58.081,6303.666666666667,3.876413583,49.99434991,50.00565009,17114770.0,14339439.0,3.882378617,2775331.0,3.845599417
135,59.886,57.752,58.79,18911.0,3.898743038,49.95817133,50.04182867,17795209.0,14910250.0,3.903518284,2884959.0,3.874066906
136,60.579,58.392,59.455,6303.666666666667,3.90731712,49.92247472,50.07752528,18504287.0,15505112.0,3.91208801,2999175.0,3.882656243
137,61.214,58.988,60.07,6303.666666666667,3.899846968,49.8882391,50.1117609,19240182.0,16119617.0,3.886720149,3120565.0,3.967682432
138,61.789,59.536,60.631,6303.666666666667,3.881451544,49.85603447,50.14396553,20001663.0,16751993.0,3.848025878,3249670.0,4.053937755
139,62.305,60.033,61.137,6303.666666666667,3.859843092,49.82583642,50.17416358,20788789.0,17402295.0,3.808485781,3386494.0,4.124171521
140,62.776,60.485,61.599,20001.0,3.839001312,49.79747609,50.20252391,21602388.0,18070398.0,3.767303574,3531990.0,4.206628355
141,63.212,60.9,62.024,6303.666666666667,3.816736721,49.7710026,50.2289974,22442831.0,18756596.0,3.72703474,3686235.0,4.274416048
142,63.621,61.281,62.42,6303.666666666667,3.794206636,49.74646213,50.25353787,23310719.0,19460488.0,3.68406763,3850231.0,4.352753454
143,62.74060000000001,60.447,61.5622,6303.666666666667,3.771351275,49.72384845,50.27615155,24206636.0,20182041.0,3.640699603,4024595.0,4.429113819
