Event_key,country,start_year,start_month,start_day,end_year,end_month,end_day,event_type,total_affected,total_deaths
182,Brazil,2019,10.0,15.0,2019,10.0,15.0,Miscellaneous accident,7.0,11.0
183,Brazil,2019,11.0,25.0,2019,11.0,27.0,Flood,300.0,0.0
184,Brazil,2020,1.0,17.0,2020,1.0,27.0,Flood,11012.0,61.0
185,Brazil,2020,2.0,29.0,2020,2.0,29.0,Transport accident,46.0,48.0
186,Brazil,2020,3.0,2.0,2020,3.0,3.0,Flood,5000.0,60.0
187,Brazil,2020,6.0,30.0,2020,7.0,1.0,Storm,1119.0,12.0
188,Brazil,2020,11.0,25.0,2020,11.0,25.0,Transport accident,15.0,37.0
189,Brazil,2020,12.0,4.0,2020,12.0,4.0,Transport accident,26.0,14.0
190,Canada,2005,5.0,8.0,2005,5.0,8.0,Miscellaneous accident,155.0,0.0
191,Canada,2005,6.0,7.0,2005,7.0,1.0,Flood,5000.0,4.0
192,Canada,2005,9.0,26.0,2005,9.0,29.0,Storm,300.0,0.0
193,Canada,2005,11.0,30.0,2005,12.0,1.0,Miscellaneous accident,506.0,0.0
194,Canada,2006,4.0,12.0,2006,4.0,20.0,Flood,1000.0,0.0
195,Canada,2006,5.0,20.0,2006,5.0,28.0,Flood,400.0,1.0
196,Canada,2007,2.0,14.0,2007,2.0,15.0,Storm,2.0,2.0
197,Canada,2007,6.0,6.0,2007,6.0,11.0,Flood,500.0,0.0
198,Canada,2007,12.0,23.0,2007,12.0,26.0,Storm,4.0,4.0
199,Canada,2008,4.0,10.0,2008,4.0,24.0,Flood,400.0,0.0
200,Canada,2008,8.0,10.0,2008,8.0,10.0,Industrial accident,12518.0,2.0
201,Canada,2009,3.0,12.0,2009,3.0,12.0,Transport accident,1.0,16.0
202,Canada,2009,4.0,1.0,2009,4.0,9.0,Flood,200.0,0.0
203,Canada,2009,8.0,23.0,2009,8.0,23.0,Storm,3.0,0.0
204,Canada,2010,12.0,26.0,2010,12.0,28.0,Storm,0.0,0.0
205,Canada,2011,5.0,14.0,2011,5.0,16.0,Wildfire,7000.0,1.0
206,Canada,2011,8.0,20.0,2011,8.0,20.0,Transport accident,3.0,12.0
207,Canada,2012,2.0,6.0,2012,2.0,6.0,Transport accident,11.0,11.0
208,Canada,2012,3.0,25.0,2012,3.0,30.0,Flood,1500.0,0.0
209,Canada,2012,8.0,12.0,2012,8.0,12.0,Storm,0.0,0.0
210,Canada,2012,12.0,24.0,2012,12.0,27.0,Storm,0.0,0.0
211,Canada,2013,3.0,21.0,2013,3.0,21.0,Transport accident,100.0,0.0
212,Canada,2013,6.0,20.0,2013,6.0,27.0,Flood,100000.0,4.0
213,Canada,2013,7.0,8.0,2013,7.0,9.0,Storm,0.0,0.0
214,Canada,2013,12.0,21.0,2013,12.0,22.0,Extreme temperature,10.0,10.0
215,Canada,2014,1.0,23.0,2014,1.0,23.0,Miscellaneous accident,32.0,32.0
216,Canada,2014,8.0,4.0,2014,8.0,4.0,Flood,6904.0,0.0
217,Canada,2015,7.0,1.0,2015,7.0,10.0,Wildfire,13036.0,0.0
218,Canada,2016,6.0,14.0,2016,6.0,21.0,Flood,300.0,0.0
219,Canada,2016,5.0,1.0,2016,7.0,4.0,Wildfire,88000.0,0.0
220,Canada,2016,8,10,2016,8,10,Bombing/Explosion,1.0,1.0
221,Canada,2017,1,29,2017,1,29,Armed Assault,19.0,6.0
222,Canada,2017,5.0,5.0,2017,5.0,20.0,Flood,16113.0,2.0
223,Canada,2017,8.0,28.0,2017,8.0,29.0,Flood,3000.0,0.0
224,Canada,2017,7.0,7.0,2017,9.0,15.0,Wildfire,43441.0,0.0
225,Canada,2018,4.0,6.0,2018,4.0,6.0,Transport accident,13.0,16.0
226,Canada,2018,5.0,10.0,2018,5.0,14.0,Flood,4000.0,0.0
227,Canada,2018,6.0,29.0,2018,7.0,5.0,Extreme temperature,70.0,70.0
228,Canada,2018,9.0,21.0,2018,9.0,21.0,Storm,930.0,0.0
229,Canada,2019,4.0,27.0,2019,5.0,5.0,Flood,19500.0,1.0
230,Canada,2019,10.0,31.0,2019,11.0,2.0,Storm,1.0,1.0
231,Canada,2020,4.0,26.0,2020,4.0,30.0,Flood,12936.0,1.0
232,Canada,2020,6.0,13.0,2020,6.0,14.0,Storm,60000.0,0.0
