disaster_key,country,start_year,start_month,start_day,end_year,end_month,end_day,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,total_affected,total_disaster_deaths
2007-0663-USA,United States of America (the),2007,4.0,13.0,2007,4.0,17.0,Natural,Meteorological,Storm,None,23.0,23.0
2007-0244-USA,United States of America (the),2007,6.0,26.0,2007,7.0,6.0,Natural,Hydrological,Flood,Riverine flood,5000.0,8.0
2007-0690-USA,United States of America (the),2007,5.0,21.0,2007,5.0,25.0,Natural,Meteorological,Storm,None,5.0,5.0
2007-0251-USA,United States of America (the),2007,6.0,19.0,2007,6.0,20.0,Natural,Hydrological,Flood,Flash flood,120.0,4.0
2007-0519-USA,United States of America (the),2007,10.0,21.0,2007,10.0,24.0,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",640064.0,8.0
2007-0689-USA,United States of America (the),2007,2.0,23.0,2007,2.0,25.0,Natural,Meteorological,Storm,None,27.0,4.0
2007-0156-USA,United States of America (the),2007,4.0,24.0,2007,4.0,26.0,Natural,Meteorological,Storm,Convective storm,280.0,10.0
2007-0359-USA,United States of America (the),2007,8.0,16.0,2007,8.0,19.0,Natural,Meteorological,Storm,Tropical cyclone,7.0,7.0
2007-0621-USA,United States of America (the),2007,12.0,23.0,2007,12.0,26.0,Natural,Meteorological,Storm,None,22.0,22.0
2007-0641-USA,United States of America (the),2007,12.0,9.0,2007,12.0,11.0,Natural,Meteorological,Storm,None,2.0,24.0
2007-0083-USA,United States of America (the),2007,3.0,1.0,2007,3.0,2.0,Natural,Meteorological,Storm,Convective storm,20.0,20.0
2007-0173-USA,United States of America (the),2007,5.0,24.0,2007,5.0,29.0,Natural,Hydrological,Flood,Riverine flood,100.0,8.0
2007-0254-USA,United States of America (the),2007,6.0,17.0,2007,6.0,22.0,Natural,Hydrological,Flood,Riverine flood,750.0,10.0
2007-0351-USA,United States of America (the),2007,6.0,24.0,2007,7.0,2.0,Natural,Climatological,Wildfire,Forest fire,768.0,0.0
2007-0579-USA,United States of America (the),2007,11.0,24.0,2007,11.0,27.0,Natural,Climatological,Wildfire,Forest fire,10159.0,0.0
2007-0493-USA,United States of America (the),2007,10.0,7.0,2007,10.0,7.0,Technological,Technological,Transport accident,Air,10.0,10.0
2007-0336-USA,United States of America (the),2007,8.0,2.0,2007,8.0,2.0,Technological,Technological,Miscellaneous accident,Collapse,60.0,29.0
2007-0118-USA,United States of America (the),2007,3.0,7.0,2007,3.0,8.0,Technological,Technological,Miscellaneous accident,Fire,10.0,10.0
2008-0010-USA,United States of America (the),2008,1.0,5.0,2008,1.0,9.0,Natural,Hydrological,Flood,Riverine flood,1500.0,2.0
2008-0210-USA,United States of America (the),2008,5.0,22.0,2008,5.0,26.0,Natural,Meteorological,Storm,Convective storm,70.0,7.0
2008-0194-USA,United States of America (the),2008,5.0,10.0,2008,5.0,12.0,Natural,Meteorological,Storm,Convective storm,150.0,22.0
2008-0039-USA,United States of America (the),2008,2.0,5.0,2008,2.0,6.0,Natural,Meteorological,Storm,Convective storm,150.0,59.0
2008-0115-USA,United States of America (the),2008,3.0,14.0,2008,3.0,14.0,Natural,Meteorological,Storm,Convective storm,177.0,2.0
