key,country_name,alpha_code,Year,public_education_spending,primary_school_enrollment,primary_school_enrollment_female,primary_school_enrollment_male,secondary_school_enrollment,secondary_school_enrollment_female,secondary_school_enrollment_male,primary_completion_rate_female,primary_completion_rate_male,primary_completion_rate_total,female_literacy_rate,male_literacy_rate,adult_literacy_rate
44,India,IND,2010,3.377690076828,109.101371765137,110.695121765137,107.682746887207,63.1161994934082,61.1048011779785,64.9087295532227,97.17592773437502,93.88644104003906,95.435888671875,58.63063049316406,78.8119455973307,68.8100077311198
45,India,IND,2011,3.79618000984192,108.323356628418,110.310363769531,106.554481506348,66.2507019042969,64.6692504882813,67.6590881347656,93.6002883911133,92.0190505981445,92.7633590698242,59.2773208618164,78.8772277832031,69.3025588989258
46,India,IND,2012,3.8675000667572,109.761299133301,111.974426269531,107.78946685791,69.0128326416016,67.6368637084961,70.2372970581055,98.00452270507807,93.69051513671874,95.72408752441406,58.63063049316406,78.8119455973307,68.8100077311198
47,India,IND,2013,3.84467005729675,110.583312988281,117.120376586914,104.748687744141,68.7591171264648,69.4817733764648,68.1162719726563,99.3199768066406,93.426872253418,96.2008895874023,58.63063049316406,78.8119455973307,68.8100077311198
48,India,IND,2014,3.6490119934082017,107.864410400391,114.018760681152,102.356887817383,74.1415328979492,75.0392608642578,73.3430099487305,100.387771606445,95.0636901855469,97.5711212158203,58.63063049316406,78.8119455973307,68.8100077311198
49,India,IND,2015,3.28572988510132,108.485229492188,114.780570983887,102.833503723145,73.8656311035156,74.6852874755859,73.1364974975586,100.422088623047,95.2926712036133,97.7113189697266,58.63063049316406,78.8119455973307,68.8100077311198
50,India,IND,2016,3.45097994804382,114.53832244873,123.555137634277,106.417900085449,75.091796875,76.038948059082,74.2489471435547,98.5070495605469,94.1924896240234,96.2306976318359,58.63063049316406,78.8119455973307,68.8100077311198
51,India,IND,2017,3.6490119934082017,112.957862854004,121.127372741699,105.581008911133,73.4768829345703,74.0585098266602,72.958869934082,96.2924880981445,92.6502914428711,94.3737487792969,58.63063049316406,78.8119455973307,68.8100077311198
52,India,IND,2018,3.6490119934082017,108.13490142822275,114.2592361450194,102.62502136230482,74.379508972168,74.954963684082,73.8663482666016,97.7743759155273,93.48278198242187,95.50967559814453,65.7908096313477,82.3667068481445,74.3729934692383
53,India,IND,2019,3.6490119934082017,96.8286819458008,97.814338684082,95.9358062744141,73.79296875,74.5229568481445,73.1408309936523,93.2624816894531,90.2147674560547,91.661491394043,58.63063049316406,78.8119455973307,68.8100077311198
54,India,IND,2020,3.6490119934082017,99.9004592895508,100.908241271973,98.9871520996094,75.4811935424805,75.2815017700195,75.6600036621094,96.0651779174805,93.1959686279297,94.5591278076172,58.63063049316406,78.8119455973307,68.8100077311198
55,China,CHN,2006,3.732367944717408,100.993278503418,100.56224822998,101.375343322754,71.3284530639648,70.9691467285156,71.6589126586914,91.4194030761719,91.8222732543945,91.6324234008789,93.9352798461914,97.9729995727539,95.98268508911136
56,China,CHN,2007,3.732367944717408,100.707046508789,100.072570800781,101.268058776855,76.7876586914063,76.7652206420898,76.8081436157227,93.0166091918945,93.6427536010742,93.3478927612305,93.9352798461914,97.9729995727539,95.98268508911136
57,China,CHN,2008,3.732367944717408,100.74243927002,99.9091415405273,101.477058410645,81.7128372192383,82.2636871337891,81.2142486572266,98.7820816040039,99.7163467407227,99.2769393920898,93.9352798461914,97.9729995727539,95.98268508911136
58,China,CHN,2009,3.732367944717408,100.006103515625,99.1214065551758,100.783340454102,85.4514083862305,86.6089401245117,84.4112167358398,97.6632766723633,98.8539276123047,98.2946319580078,93.9352798461914,97.9729995727539,95.98268508911136
59,China,CHN,2010,3.75464010238647,98.9642181396484,98.0428924560547,99.7705383300781,88.1734008789063,88.0126800537109,88.3169708251953,95.2203426361084,96.00882530212402,95.63797187805174,92.7112274169922,97.4794616699219,95.1244812011719
60,China,CHN,2011,3.52196002006531,99.0470199584961,98.2403182983398,99.7501220703125,80.69075164794923,80.92393493652341,80.48189849853516,95.2203426361084,96.00882530212402,95.63797187805174,93.9352798461914,97.9729995727539,95.98268508911136
61,China,CHN,2012,4.07742977142334,99.7910995483398,99.1953125,100.308441162109,80.69075164794923,80.92393493652341,80.48189849853516,95.2203426361084,96.00882530212402,95.63797187805174,93.9352798461914,97.9729995727539,95.98268508911136
62,China,CHN,2013,3.85250997543335,99.5645980834961,99.4368896484375,99.6751327514648,80.69075164794923,80.92393493652341,80.48189849853516,95.2203426361084,96.00882530212402,95.63797187805174,93.9352798461914,97.9729995727539,95.98268508911136
63,China,CHN,2014,3.72663998603821,95.7964324951172,95.8334274291992,95.7645034790039,80.69075164794923,80.92393493652341,80.48189849853516,95.2203426361084,96.00882530212402,95.63797187805174,93.9352798461914,97.9729995727539,95.98268508911136
64,China,CHN,2015,3.82487010955811,96.318603515625,96.4455413818359,96.209342956543,80.69075164794923,80.92393493652341,80.48189849853516,95.2203426361084,96.00882530212402,95.63797187805174,93.9352798461914,97.9729995727539,95.98268508911136
