key,Country Name,Country Code,Year,"Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Primary completion rate, female (% of relevant age group)","Primary completion rate, male (% of relevant age group)","Primary completion rate, total (% of relevant age group)","Public spending on education, total (% of GDP)","School enrollment, primary (% gross)","School enrollment, primary, female (% gross)","School enrollment, primary, male (% gross)","School enrollment, secondary (% gross)","School enrollment, secondary, female (% gross)","School enrollment, secondary, male (% gross)"
4b74da0b-327f-409c-b2b5-a90de1f7f98e,India,IND,2008,,,,95.5246429443359,94.074592590332,94.7575836181641,,110.697380065918,111.852157592773,109.669166564941,60.3564910888672,57.011890411377,63.3456192016602
3af0da16-23f6-4eb4-8f36-00e486e87cba,India,IND,2009,,,,97.0126419067383,94.6190185546875,95.7462921142578,3.27824997901917,109.451072692871,111.289283752441,107.814651489258,59.6136512756348,57.5185699462891,61.4829292297363
1810d5fa-4bf6-44db-8466-b5520396669f,India,IND,2010,,,,,,,3.377690076828,109.101371765137,110.695121765137,107.682746887207,63.1161994934082,61.1048011779785,64.9087295532227
4bff2c71-0996-4198-a987-a3f015b03843,India,IND,2011,59.2773208618164,78.8772277832031,69.3025588989258,93.6002883911133,92.0190505981445,92.7633590698242,3.79618000984192,108.323356628418,110.310363769531,106.554481506348,66.2507019042969,64.6692504882813,67.6590881347656
d5be7493-40ab-4799-a093-c11a3dd3913c,India,IND,2012,,,,,,,3.8675000667572,109.761299133301,111.974426269531,107.78946685791,69.0128326416016,67.6368637084961,70.2372970581055
34e2d82d-a854-4318-9b94-25b9dfdf04bc,India,IND,2013,,,,99.3199768066406,93.426872253418,96.2008895874023,3.84467005729675,110.583312988281,117.120376586914,104.748687744141,68.7591171264648,69.4817733764648,68.1162719726563
5dec3041-e968-43f2-8692-b0c5406500c2,India,IND,2014,,,,100.387771606445,95.0636901855469,97.5711212158203,,107.864410400391,114.018760681152,102.356887817383,74.1415328979492,75.0392608642578,73.3430099487305
08f8c21d-df7a-4889-b857-f61039f7e1a5,India,IND,2015,,,,100.422088623047,95.2926712036133,97.7113189697266,3.28572988510132,108.485229492188,114.780570983887,102.833503723145,73.8656311035156,74.6852874755859,73.1364974975586
6846ce9d-ecea-4a1b-95e5-1f5654802b30,India,IND,2016,,,,98.5070495605469,94.1924896240234,96.2306976318359,3.45097994804382,114.53832244873,123.555137634277,106.417900085449,75.091796875,76.038948059082,74.2489471435547
5d2d7ee4-dd62-4c44-87df-52cc23848542,India,IND,2017,,,,96.2924880981445,92.6502914428711,94.3737487792969,,112.957862854004,121.127372741699,105.581008911133,73.4768829345703,74.0585098266602,72.958869934082
fd62bbfb-d5f7-42fc-bc32-483b00da3209,India,IND,2018,65.7908096313477,82.3667068481445,74.3729934692383,,,,,,,,74.379508972168,74.954963684082,73.8663482666016
