index,country_key,date_key,education_key,health_key,quality_of_life_key,event_key
866,3,67,53,53,53,830
867,4,67,69,69,69,1471
868,4,67,69,69,69,1481
869,4,67,69,69,69,1487
870,4,67,69,69,69,1494
871,4,67,69,69,69,1495
872,4,67,69,69,69,1506
873,4,67,69,69,69,1507
874,4,67,69,69,69,1517
875,4,67,69,69,69,1518
876,4,67,69,69,69,1521
877,4,67,69,69,69,1524
878,2,68,37,37,37,515
879,3,68,53,53,53,802
880,3,68,53,53,53,809
881,3,68,53,53,53,824
882,3,68,53,53,53,833
883,4,68,69,69,69,1471
884,4,68,69,69,69,1475
885,4,68,69,69,69,1476
886,4,68,69,69,69,1477
887,4,68,69,69,69,1482
888,4,68,69,69,69,1483
889,4,68,69,69,69,1484
890,4,68,69,69,69,1491
891,4,68,69,69,69,1504
892,4,68,69,69,69,1505
893,4,68,69,69,69,1508
894,4,68,69,69,69,1515
895,4,68,69,69,69,1522
896,2,69,37,37,37,513
897,2,69,37,37,37,516
898,2,69,37,37,37,518
899,2,69,37,37,37,520
900,2,69,37,37,37,521
901,2,69,37,37,37,524
902,3,69,53,53,53,803
903,3,69,53,53,53,813
904,3,69,53,53,53,814
905,3,69,53,53,53,825
906,3,69,53,53,53,831
907,4,69,69,69,69,1468
908,4,69,69,69,69,1485
909,4,69,69,69,69,1489
910,7,69,115,117,117,2121
911,2,70,37,37,37,525
912,3,70,53,53,53,807
913,3,70,53,53,53,827
914,3,70,53,53,53,828
915,3,70,53,53,53,835
916,4,70,69,69,69,1478
917,4,70,69,69,69,1488
918,4,70,69,69,69,1509
919,4,70,69,69,69,1519
920,6,70,99,101,101,1989
921,7,70,115,117,117,2120
922,2,71,37,37,37,526
923,3,71,53,53,53,807
924,3,71,53,53,53,815
925,3,71,53,53,53,834
926,4,71,69,69,69,1496
927,4,71,69,69,69,1510
928,4,71,69,69,69,1525
929,3,73,54,54,54,838
930,3,73,54,54,54,841
931,3,73,54,54,54,845
932,4,73,70,70,70,1535
933,6,73,100,102,102,2001
934,7,73,116,118,118,2122
935,2,74,38,38,38,532
936,4,74,70,70,70,1529
937,6,74,100,102,102,2001
938,7,74,116,118,118,2129
939,3,75,54,54,54,885
940,4,75,70,70,70,1530
941,4,75,70,70,70,1531
942,4,75,70,70,70,1539
943,7,75,116,118,118,2123
944,7,75,116,118,118,2128
945,0,76,6,6,6,21
946,3,76,54,54,54,839
947,3,76,54,54,54,847
948,4,76,70,70,70,1528
949,4,76,70,70,70,1542
950,6,76,100,102,102,2003
951,6,76,100,102,102,2004
952,7,76,116,118,118,2124
953,0,77,6,6,6,21
954,0,77,6,6,6,24
955,2,77,38,38,38,533
956,2,77,38,38,38,534
957,3,77,54,54,54,837
958,3,77,54,54,54,840
959,3,77,54,54,54,842
960,4,77,70,70,70,1532
961,4,77,70,70,70,1540
962,4,77,70,70,70,1543
963,7,77,116,118,118,2125
964,2,78,38,38,38,529
965,2,78,38,38,38,530
966,3,78,54,54,54,854
967,4,78,70,70,70,1527
968,4,78,70,70,70,1534
969,4,78,70,70,70,1544
970,4,78,70,70,70,1552
971,2,79,38,38,38,530
972,2,79,38,38,38,531
973,2,79,38,38,38,539
974,3,79,54,54,54,843
975,3,79,54,54,54,844
976,3,79,54,54,54,852
977,3,79,54,54,54,854
978,4,79,70,70,70,1526
979,4,79,70,70,70,1533
980,4,79,70,70,70,1536
981,4,79,70,70,70,1538
982,4,79,70,70,70,1541
983,6,79,100,102,102,2000
984,6,79,100,102,102,2002
985,6,79,100,102,102,2005
986,7,79,116,118,118,2126
987,7,79,116,118,118,2127
988,7,79,116,118,118,2130
989,0,80,6,6,6,22
990,0,80,6,6,6,23
991,0,80,6,6,6,25
992,2,80,38,38,38,540
993,3,80,54,54,54,848
994,3,80,54,54,54,850
995,3,80,54,54,54,851
996,3,80,54,54,54,852
997,4,80,70,70,70,1537
998,4,80,70,70,70,1546
999,4,80,70,70,70,1550
1000,4,80,70,70,70,1551
1001,4,80,70,70,70,1553
1002,4,80,70,70,70,1568
1003,4,80,70,70,70,1569
1004,2,81,38,38,38,536
1005,2,81,38,38,38,540
1006,3,81,54,54,54,846
1007,3,81,54,54,54,848
1008,3,81,54,54,54,849
1009,3,81,54,54,54,850
1010,3,81,54,54,54,851
1011,3,81,54,54,54,853
1012,3,81,54,54,54,880
1013,4,81,70,70,70,1545
1014,4,81,70,70,70,1547
1015,4,81,70,70,70,1548
1016,4,81,70,70,70,1551
1017,4,81,70,70,70,1558
1018,4,81,70,70,70,1560
1019,4,81,70,70,70,1571
1020,2,82,38,38,38,535
1021,2,82,38,38,38,538
1022,3,82,54,54,54,849
1023,3,82,54,54,54,851
1024,3,82,54,54,54,881
1025,4,82,70,70,70,1547
